"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Impressions,Reach,Ends,"Attribution setting","Clicks (all)","CPC (all) (USD)","CTR (all)","Website leads",Leads,"Landing page views","Adds to cart",Purchases,"Achievements unlocked","Adds of payment info",actions:omni_add_to_wishlist,"App activations","App installs","App store views","Applications submitted","Appointments scheduled","Checkouts initiated",Contacts,"Content views","Credit spends","Custom events","Desktop app engagements","Desktop app story engagements","Desktop app uses","Direct website purchases","Direct website purchases conversion value","Donation ROAS (return on ad spend)",Donations,"Game plays","Get directions clicks","In-app ad clicks","In-app ad impressions","Levels achieved","Location searches","Meta workflow completions","Tutorials completed","Trials started",Subscriptions,"Registrations completed","Ratings submitted","Purchase ROAS (return on ad spend)","Products customized","Phone number clicks","Results (initial)","Results (initial) indicator"
2026-08-21,2026-08-21,"kelpie - 21/08",active,1,actions:offsite_conversion.fb_pixel_lead,171.64,"Using ad set budget",0,171.64,3996,2947,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",149,1.151946,3.728729,1,1,98,,,,1,,,,,,,,,73,,,,,,0,0,,,,,,,,,,,,,,,,,,,
2026-08-22,2026-08-22,"kelpie - 21/08",active,1,actions:offsite_conversion.fb_pixel_lead,75.98,"Using ad set budget",0,75.98,2157,1739,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",72,1.055278,3.337969,1,1,36,,,,1,,,,,,,,,31,,,,,,0,0,,,,,,,,,,,,,,,,,,,
